homograph,homograph_type,n_eval,mle_acc,pos_baseline_acc,probe_acc,probe_minus_baseline
misuse,Morphosyntactic,10,1.0,1.0,1.0,0.0
mobile,Lexical,10,1.0,1.0,1.0,0.0
moderate,Lexical/Morphosyntactic,10,1.0,1.0,1.0,0.0
moped,Lexical,9,1.0,1.0,1.0,0.0
mouth,Lexical,10,1.0,1.0,1.0,0.0
nestle,Lexical,9,1.0,1.0,1.0,0.0
object,Lexical,10,1.0,1.0,1.0,0.0
ornament,Lexical/Morphosyntactic,10,1.0,1.0,1.0,0.0
overthrow,Morphosyntactic,10,0.4,1.0,1.0,0.0
pasty,Lexical,9,0.7778,0.7778,0.8889,0.1111
perfect,Morphosyntactic,10,1.0,1.0,1.0,0.0
perfume,Morphosyntactic,10,0.9,1.0,1.0,0.0
permit,Morphosyntactic,10,0.5,1.0,1.0,0.0
pervert,Lexical,10,0.7,1.0,1.0,0.0
pigment,Morphosyntactic,10,1.0,1.0,1.0,0.0
polish,Lexical,10,1.0,1.0,1.0,0.0
postulate,Morphosyntactic,10,0.5,1.0,1.0,0.0
precipitate,Lexical/Morphosyntactic,10,0.9,1.0,1.0,0.0
predicate,Lexical/Morphosyntactic,10,1.0,1.0,1.0,0.0
present,Lexical/Morphosyntactic,10,0.8,1.0,1.0,0.0
produce,Lexical/Morphosyntactic,10,0.8,1.0,1.0,0.0
progress,Lexical/Morphosyntactic,10,0.7,1.0,1.0,0.0
project,Lexical/Morphosyntactic,10,1.0,1.0,1.0,0.0
protest,Lexical/Morphosyntactic,10,1.0,1.0,1.0,0.0
ravel,Lexical,10,0.9,0.9,1.0,0.1
read,Morphosyntactic,13,0.4615,0.6154,0.9231,0.3077
reading,Lexical,10,0.8,0.8,0.9,0.1
rebel,Morphosyntactic,10,0.9,0.9,1.0,0.1
record,Morphosyntactic,10,1.0,1.0,1.0,0.0
recount,Lexical,10,0.7,0.9,1.0,0.1
refund,Morphosyntactic,10,0.7,1.0,1.0,0.0
refuse,Lexical,10,0.8,0.9,1.0,0.1
reject,Morphosyntactic,10,1.0,0.9,0.9,0.0
rerelease,Morphosyntactic,10,0.9,0.8,1.0,0.2
resume,Lexical,10,1.0,1.0,1.0,0.0
retard,Lexical,9,0.8889,0.8889,1.0,0.1111
rodeo,Lexical,10,1.0,1.0,1.0,0.0
row,Lexical,10,1.0,1.0,1.0,0.0
sake,Lexical,10,0.7,0.7,1.0,0.3
